TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-08-2023,23.8,32.8,28.1,65.0,0,8.9,8.0,110.0,3.0,E 
10-08-2023,23.4,32.4,27.7,60.0,-,8.0,6.0,130.0,3.0,E 
11-08-2023,22.2,32.6,27.8,62.0,-,8.8,5.0,100.0,3.0,E 
12-08-2023,23.0,33.2,28.3,61.0,0,8.8,8.0,90.0,2.0,C 
13-08-2023,23.0,32.7,28.6,64.0,0,8.7,6.0,80.0,2.0,E 
14-08-2023,23.8,33.0,28.4,62.0,0,9.1,7.0,130.0,3.0,E 
15-08-2023,23.4,33.3,28.7,65.0,0,9.3,8.0,100.0,3.0,E 
16-08-2023,24.0,33.3,28.3,62.0,0,8.8,5.0,160.0,2.0,E 
17-08-2023,23.5,32.8,27.7,68.0,0,8.7,7.0,80.0,3.0,C 
18-08-2023,22.8,32.6,27.8,65.0,-,8.0,8.0,100.0,3.0,E 
19-08-2023,23.6,33.2,28.7,67.0,0,8.9,7.0,130.0,4.0,E 
20-08-2023,24.0,33.4,28.8,66.0,-,9.5,5.0,150.0,2.0,SE
21-08-2023,24.1,32.9,28.5,69.0,0,9.0,7.0,90.0,4.0,E 
22-08-2023,24.5,32.6,28.3,66.0,0,8.0,6.0,110.0,3.0,E 
23-08-2023,23.4,33.0,28.0,66.0,0,9.8,8.0,110.0,3.0,E 
24-08-2023,23.5,32.6,28.3,66.0,0,9.9,8.0,90.0,3.0,E 
25-08-2023,24.0,33.8,28.9,68.0,0,9.6,6.0,110.0,2.0,E 
26-08-2023,24.2,33.8,28.9,61.0,-,9.2,5.0,100.0,3.0,E 
27-08-2023,23.3,33.8,28.7,63.0,0,9.5,6.0,140.0,3.0,E 
28-08-2023,24.0,32.5,28.7,66.0,0,9.0,8.0,100.0,3.0,SE
29-08-2023,24.0,33.8,29.0,62.0,0,9.2,7.0,130.0,3.0,C 
30-08-2023,23.9,33.1,28.6,67.0,0,9.0,8.0,80.0,3.0,E 
31-08-2023,23.6,33.2,28.7,65.0,0,9.0,7.0,110.0,3.0,E 
,,,,,,,,,,
09-04-2023,23.8,33.8,28.1,80.0,78.5,7.0,8.0,310.0,2.0,C 
10-04-2023,25.0,33.6,27.4,82.0,14.8,7.3,7.0,170.0,2.0,C 
11-04-2023,24.4,34.0,29.2,79.0,11.5,7.3,7.0,320.0,2.0,C 
12-04-2023,25.8,33.8,28.3,82.0,6.8,9.5,6.0,300.0,2.0,C 
13-04-2023,24.4,31.0,28.1,77.0,36,5.7,3.0,300.0,1.0,C 
14-04-2023,25.0,32.9,28.6,78.0,0,0.5,4.0,60.0,1.0,C 
15-04-2023,26.0,33.6,29.0,79.0,19.4,5.2,5.0,330.0,2.0,C 
16-04-2023,26.0,33.0,29.4,77.0,31.2,4.8,6.0,320.0,1.0,C 
17-04-2023,26.4,32.9,28.5,81.0,0,8.1,3.0,120.0,1.0,C 
18-04-2023,25.3,33.0,29.2,81.0,10.1,5.0,4.0,80.0,1.0,C 
19-04-2023,25.2,34.5,29.8,73.0,0,3.7,7.0,80.0,2.0,E 
20-04-2023,26.0,33.0,29.2,77.0,8888,8.4,4.0,310.0,2.0,C 
21-04-2023,26.6,33.2,29.3,78.0,0,6.8,5.0,100.0,2.0,E 
22-04-2023,25.4,33.6,30.0,74.0,0,6.7,8.0,130.0,2.0,C 
23-04-2023,27.4,34.0,30.5,71.0,0,8.7,7.0,110.0,4.0,E 
24-04-2023,27.7,34.0,30.3,73.0,0,8.4,5.0,110.0,2.0,E 
25-04-2023,27.4,34.0,30.0,76.0,0,9.4,7.0,90.0,2.0,E 
26-04-2023,26.8,32.6,28.8,82.0,5.5,6.8,4.0,160.0,1.0,C 
27-04-2023,26.4,34.0,29.0,80.0,4,2.3,5.0,320.0,1.0,C 
28-04-2023,26.0,32.4,28.0,84.0,-,5.0,3.0,290.0,1.0,C 
29-04-2023,25.2,31.6,28.0,84.0,12.9,1.8,6.0,60.0,1.0,C 
30-04-2023,25.8,33.0,29.4,78.0,2.5,1.6,3.0,50.0,1.0,C 
09-12-2023,26.2,33.2,29.4,77.0,8888,3.6,3.0,320.0,1.0,C 
10-12-2023,26.4,33.0,28.1,81.0,-,0.5,4.0,310.0,1.0,C 
11-12-2023,25.8,34.2,30.0,71.0,31,1.5,5.0,310.0,1.0,C 
12-12-2023,25.7,35.0,30.5,71.0,0,7.6,6.0,310.0,3.0,NW
13-12-2023,26.6,34.9,29.5,76.0,0,8.2,6.0,340.0,2.0,C 
14-12-2023,26.3,33.6,29.2,78.0,0,2.0,3.0,170.0,1.0,C 
15-12-2023,26,34.4,28.8,76.0,3.5,0.6,6.0,320.0,2.0,C 
16-12-2023,25.2,35.0,30.7,69.0,12.4,5.0,7.0,320.0,2.0,NW
17-12-2023,26.4,35.4,30.0,71.0,0,7.8,5.0,300.0,2.0,NW
18-12-2023,25.8,34.0,30.2,68.0,1,7.5,3.0,80.0,1.0,C 
19-12-2023,26,35.4,30.5,63.0,0,6.9,4.0,310.0,2.0,NW
20-12-2023,25.6,34.8,29.9,63.0,0,7.5,7.0,50.0,2.0,C 
21-12-2023,25.2,35.2,30.6,66.0,0,8.5,7.0,320.0,2.0,NW
22-12-2023,26.5,34.8,30.4,70.0,8888,8.6,4.0,200.0,1.0,C 
23-12-2023,26.4,34.8,30.6,70.0,0,6.0,4.0,60.0,2.0,C 
24-12-2023,26.2,35.2,30.6,70.0,-,7.3,6.0,80.0,2.0,C 
25-12-2023,26.8,34.0,27.5,84.0,0,8.2,7.0,320.0,2.0,C 
26-12-2023,24,34.4,29.4,76.0,44.2,0.5,4.0,310.0,1.0,C 
27-12-2023,26.4,35.0,30.3,74.0,0,5.0,5.0,80.0,2.0,C 
28-12-2023,27,35.4,30.3,76.0,0,3.7,10.0,60.0,2.0,C 
29-12-2023,27.2,36.1,30.6,75.0,1.2,5.0,6.0,80.0,2.0,C 
30-12-2023,-,34.0,29.8,79.0,6.7,6.6,4.0,310.0,1.0,C 
31-12-2023,26.5,35.5,30.4,75.0,8888,4.9,7.0,80.0,2.0,E 
09-02-2023,25.0,30.8,27.1,86.0,18.6,3.5,7.0,320.0,1.0,C 
10-02-2023,24.6,32.4,28.4,80.0,49.4,4.3,10.0,320.0,3.0,NW
11-02-2023,25.5,30.3,26.9,86.0,0.0,4.0,4.0,310.0,1.0,C 
12-02-2023,25.0,31.4,26.5,87.0,7.8,2.2,8.0,330.0,2.0,C 
13-02-2023,24.4,33.4,27.2,81.0,12.9,3.0,9.0,290.0,2.0,C 
14-02-2023,25.0,32.6,27.3,83.0,8.5,2.5,7.0,280.0,3.0,NW
15-02-2023,24.6,32.8,26.7,85.0,35.8,5.6,5.0,320.0,1.0,C 
16-02-2023,24.6,31.2,26.9,84.0,7.9,3.4,7.0,330.0,2.0,NW
