TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,tweet_count,hujan_mention,banjir_mention,macet_mention,Month
2023-08-09,23.8,32.8,28.1,65.0,0.0,8.9,8.0,110.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-10,23.4,32.4,27.7,60.0,0.0,8.0,6.0,130.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-11,22.2,32.6,27.8,62.0,0.0,8.8,5.0,100.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-12,23.0,33.2,28.3,61.0,0.0,8.8,8.0,90.0,2.0,C ,0.0,0.0,0.0,0.0,August
2023-08-13,23.0,32.7,28.6,64.0,0.0,8.7,6.0,80.0,2.0,E ,0.0,0.0,0.0,0.0,August
2023-08-14,23.8,33.0,28.4,62.0,0.0,9.1,7.0,130.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-15,23.4,33.3,28.7,65.0,0.0,9.3,8.0,100.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-16,24.0,33.3,28.3,62.0,0.0,8.8,5.0,160.0,2.0,E ,0.0,0.0,0.0,0.0,August
2023-08-17,23.5,32.8,27.7,68.0,0.0,8.7,7.0,80.0,3.0,C ,0.0,0.0,0.0,0.0,August
2023-08-18,22.8,32.6,27.8,65.0,0.0,8.0,8.0,100.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-19,23.6,33.2,28.7,67.0,0.0,8.9,7.0,130.0,4.0,E ,0.0,0.0,0.0,0.0,August
2023-08-20,24.0,33.4,28.8,66.0,0.0,9.5,5.0,150.0,2.0,SE,0.0,0.0,0.0,0.0,August
2023-08-21,24.1,32.9,28.5,69.0,0.0,9.0,7.0,90.0,4.0,E ,0.0,0.0,0.0,0.0,August
2023-08-22,24.5,32.6,28.3,66.0,0.0,8.0,6.0,110.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-23,23.4,33.0,28.0,66.0,0.0,9.8,8.0,110.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-24,23.5,32.6,28.3,66.0,0.0,9.9,8.0,90.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-25,24.0,33.8,28.9,68.0,0.0,9.6,6.0,110.0,2.0,E ,0.0,0.0,0.0,0.0,August
2023-08-26,24.2,33.8,28.9,61.0,0.0,9.2,5.0,100.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-27,23.3,33.8,28.7,63.0,0.0,9.5,6.0,140.0,3.0,E ,0.0,0.0,0.0,0.0,August
2023-08-28,24.0,32.5,28.7,66.0,0.0,9.0,8.0,100.0,3.0,SE,0.0,0.0,0.0,0.0,August
2023-08-29,24.0,33.8,29.0,62.0,0.0,9.2,7.0,130.0,3.0,C ,0.0,0.0,0.0,0.0,August
2023-08-30,23.9,33.1,28.6,67.0,0.0,9.0,8.0,80.0,3.0,E ,0.0,0.0,0.0,0.0,August
