TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-04-2023,23.8,33.8,28.1,80.0,78.5,7.0,8.0,310.0,2.0,C 
10-04-2023,25.0,33.6,27.4,82.0,14.8,7.3,7.0,170.0,2.0,C 
11-04-2023,24.4,34.0,29.2,79.0,11.5,7.3,7.0,320.0,2.0,C 
12-04-2023,25.8,33.8,28.3,82.0,6.8,9.5,6.0,300.0,2.0,C 
13-04-2023,24.4,31.0,28.1,77.0,36,5.7,3.0,300.0,1.0,C 
14-04-2023,25.0,32.9,28.6,78.0,0,0.5,4.0,60.0,1.0,C 
15-04-2023,26.0,33.6,29.0,79.0,19.4,5.2,5.0,330.0,2.0,C 
16-04-2023,26.0,33.0,29.4,77.0,31.2,4.8,6.0,320.0,1.0,C 
17-04-2023,26.4,32.9,28.5,81.0,0,8.1,3.0,120.0,1.0,C 
18-04-2023,25.3,33.0,29.2,81.0,10.1,5.0,4.0,80.0,1.0,C 
19-04-2023,25.2,34.5,29.8,73.0,0,3.7,7.0,80.0,2.0,E 
20-04-2023,26.0,33.0,29.2,77.0,8888,8.4,4.0,310.0,2.0,C 
21-04-2023,26.6,33.2,29.3,78.0,0,6.8,5.0,100.0,2.0,E 
22-04-2023,25.4,33.6,30.0,74.0,0,6.7,8.0,130.0,2.0,C 
23-04-2023,27.4,34.0,30.5,71.0,0,8.7,7.0,110.0,4.0,E 
24-04-2023,27.7,34.0,30.3,73.0,0,8.4,5.0,110.0,2.0,E 
25-04-2023,27.4,34.0,30.0,76.0,0,9.4,7.0,90.0,2.0,E 
26-04-2023,26.8,32.6,28.8,82.0,5.5,6.8,4.0,160.0,1.0,C 
27-04-2023,26.4,34.0,29.0,80.0,4,2.3,5.0,320.0,1.0,C 
28-04-2023,26.0,32.4,28.0,84.0,-,5.0,3.0,290.0,1.0,C 
29-04-2023,25.2,31.6,28.0,84.0,12.9,1.8,6.0,60.0,1.0,C 
30-04-2023,25.8,33.0,29.4,78.0,2.5,1.6,3.0,50.0,1.0,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
