TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-12-2023,26.2,33.2,29.4,77.0,8888,3.6,3.0,320.0,1.0,C 
10-12-2023,26.4,33.0,28.1,81.0,-,0.5,4.0,310.0,1.0,C 
11-12-2023,25.8,34.2,30.0,71.0,31,1.5,5.0,310.0,1.0,C 
12-12-2023,25.7,35.0,30.5,71.0,0,7.6,6.0,310.0,3.0,NW
13-12-2023,26.6,34.9,29.5,76.0,0,8.2,6.0,340.0,2.0,C 
14-12-2023,26.3,33.6,29.2,78.0,0,2.0,3.0,170.0,1.0,C 
15-12-2023,26,34.4,28.8,76.0,3.5,0.6,6.0,320.0,2.0,C 
16-12-2023,25.2,35.0,30.7,69.0,12.4,5.0,7.0,320.0,2.0,NW
17-12-2023,26.4,35.4,30.0,71.0,0,7.8,5.0,300.0,2.0,NW
18-12-2023,25.8,34.0,30.2,68.0,1,7.5,3.0,80.0,1.0,C 
19-12-2023,26,35.4,30.5,63.0,0,6.9,4.0,310.0,2.0,NW
20-12-2023,25.6,34.8,29.9,63.0,0,7.5,7.0,50.0,2.0,C 
21-12-2023,25.2,35.2,30.6,66.0,0,8.5,7.0,320.0,2.0,NW
22-12-2023,26.5,34.8,30.4,70.0,8888,8.6,4.0,200.0,1.0,C 
23-12-2023,26.4,34.8,30.6,70.0,0,6.0,4.0,60.0,2.0,C 
24-12-2023,26.2,35.2,30.6,70.0,-,7.3,6.0,80.0,2.0,C 
25-12-2023,26.8,34.0,27.5,84.0,0,8.2,7.0,320.0,2.0,C 
26-12-2023,24,34.4,29.4,76.0,44.2,0.5,4.0,310.0,1.0,C 
27-12-2023,26.4,35.0,30.3,74.0,0,5.0,5.0,80.0,2.0,C 
28-12-2023,27,35.4,30.3,76.0,0,3.7,10.0,60.0,2.0,C 
29-12-2023,27.2,36.1,30.6,75.0,1.2,5.0,6.0,80.0,2.0,C 
30-12-2023,-,34.0,29.8,79.0,6.7,6.6,4.0,310.0,1.0,C 
31-12-2023,26.5,35.5,30.4,75.0,8888,4.9,7.0,80.0,2.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
