TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-02-2023,25.0,30.8,27.1,86.0,18.6,3.5,7.0,320.0,1.0,C 
10-02-2023,24.6,32.4,28.4,80.0,49.4,4.3,10.0,320.0,3.0,NW
11-02-2023,25.5,30.3,26.9,86.0,0.0,4.0,4.0,310.0,1.0,C 
12-02-2023,25.0,31.4,26.5,87.0,7.8,2.2,8.0,330.0,2.0,C 
13-02-2023,24.4,33.4,27.2,81.0,12.9,3.0,9.0,290.0,2.0,C 
14-02-2023,25.0,32.6,27.3,83.0,8.5,2.5,7.0,280.0,3.0,NW
15-02-2023,24.6,32.8,26.7,85.0,35.8,5.6,5.0,320.0,1.0,C 
16-02-2023,24.6,31.2,26.9,84.0,7.9,3.4,7.0,330.0,2.0,NW
17-02-2023,24.6,32.6,27.3,85.0,40.6,3.4,6.0,310.0,2.0,W 
18-02-2023,25.2,33.2,26.9,85.0,6.6,3.0,8.0,320.0,2.0,C 
19-02-2023,24.2,33.0,27.8,82.0,95.5,8.0,5.0,320.0,2.0,C 
20-02-2023,24.6,33.5,27.7,81.0,19.5,4.8,7.0,320.0,2.0,NW
21-02-2023,24.4,33.4,27.6,82.0,18.6,7.5,6.0,290.0,2.0,NW
22-02-2023,24.0,32.6,27.6,82.0,94.6,6.8,8.0,310.0,3.0,W 
23-02-2023,25.2,31.0,27.4,84.0,1.0,5.6,6.0,300.0,2.0,W 
24-02-2023,25.7,32.4,28.3,77.0,3.2,3.1,8.0,290.0,3.0,W 
25-02-2023,25.2,32.0,28.4,77.0,0.0,3.7,8.0,310.0,3.0,NW
26-02-2023,25.4,30.2,27.6,82.0,3.6,7.3,7.0,300.0,2.0,NW
27-02-2023,25.0,30.4,26.5,85.0,8888.0,2.6,14.0,300.0,2.0,W 
28-02-2023,24.8,32.0,27.5,78.0,8.5,2.8,7.0,310.0,3.0,W 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
