TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-01-2023,23.8,32.6,27.5,82.0,26.2,6.1,5.0,250.0,2.0,C 
10-01-2023,24.2,32.4,28.7,78.0,20.5,6.0,4.0,340.0,2.0,NW
11-01-2023,25.2,33.8,29.0,75.0,1,6.1,5.0,310.0,2.0,C 
12-01-2023,25.2,33.3,28.3,78.0,28.9,8.0,5.0,310.0,1.0,C 
13-01-2023,24.8,33.2,28.4,77.0,1,8.8,6.0,320.0,2.0,C 
14-01-2023,25.0,33.0,29.2,73.0,30,8.6,7.0,320.0,3.0,W 
15-01-2023,26.0,33.6,28.8,77.0,0,7.0,8.0,310.0,3.0,W 
16-01-2023,25.6,32.6,27.7,82.0,4.5,8.3,6.0,320.0,1.0,W 
17-01-2023,24.8,31.0,26.6,86.0,1.2,2.3,7.0,310.0,2.0,C 
18-01-2023,24.0,33.1,27.3,81.0,23.3,2.9,6.0,280.0,1.0,C 
19-01-2023,23.7,32.2,27.9,81.0,1.9,5.0,4.0,330.0,1.0,NW
20-01-2023,25.2,33.2,28.3,78.0,3.3,2.6,5.0,330.0,1.0,C 
21-01-2023,25.4,32.4,27.6,82.0,0,1.8,6.0,300.0,2.0,C 
22-01-2023,24.2,32.4,28.1,81.0,40.5,5.2,6.0,310.0,2.0,C 
23-01-2023,25.0,32.4,28.8,78.0,34,6.2,6.0,330.0,2.0,C 
24-01-2023,26.4,31.9,28.7,80.0,0,4.0,4.0,160.0,1.0,C 
25-01-2023,26.4,32.2,27.1,85.0,8888,1.9,6.0,320.0,1.0,C 
26-01-2023,23.8,32.1,26.6,87.0,62.5,4.9,4.0,300.0,2.0,C 
27-01-2023,25.0,32.0,26.7,85.0,2.4,0.9,4.0,290.0,2.0,C 
28-01-2023,24.2,29.6,25.9,90.0,11.1,1.2,5.0,330.0,1.0,C 
29-01-2023,24.3,32.4,26.6,86.0,10.8,0.0,9.0,320.0,1.0,C 
30-01-2023,24.6,32.6,28.8,79.0,6.1,5.3,7.0,300.0,2.0,W 
31-01-2023,26.0,33.6,27.7,82.0,-,3.2,6.0,300.0,2.0,W 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
