TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-07-2023,24.2,33.0,28.9,72.0,5.8,0.4,7.0,100.0,3.0,E 
10-07-2023,25.6,32.6,28.4,73.0,0,9.6,7.0,110.0,3.0,E 
11-07-2023,24.3,33.2,28.4,67.0,0,9.2,5.0,90.0,1.0,C 
12-07-2023,24,32.4,28.2,69.0,0,9.2,3.0,300.0,1.0,C 
13-07-2023,24.8,32.9,28.8,70.0,0,8.7,7.0,130.0,2.0,C 
14-07-2023,25.4,33.6,28.9,69.0,0,4.0,7.0,90.0,2.0,C 
15-07-2023,24,33.4,28.7,70.0,0,8.6,6.0,100.0,1.0,C 
16-07-2023,24,32.4,28.1,69.0,0,9.5,7.0,90.0,2.0,E 
17-07-2023,23,32.7,27.9,65.0,-,9.8,7.0,90.0,3.0,E 
18-07-2023,23.3,32.6,28.0,65.0,0,9.8,9.0,120.0,3.0,C 
19-07-2023,23.8,32.2,27.5,64.0,0,9.7,7.0,70.0,2.0,C 
20-07-2023,22.2,33.1,27.6,62.0,0,9.8,7.0,90.0,2.0,C 
21-07-2023,22.5,32.1,27.6,64.0,0,9.3,4.0,90.0,1.0,C 
22-07-2023,22.6,33.6,28.6,65.0,0,9.3,8.0,100.0,3.0,E 
23-07-2023,23.4,33.2,28.4,70.0,-,9.0,6.0,80.0,3.0,E 
24-07-2023,24.8,32.4,28.7,69.0,-,9.0,8.0,110.0,3.0,E 
25-07-2023,25,32.4,28.3,71.0,0,9.5,8.0,100.0,3.0,E 
26-07-2023,24.6,33.0,27.8,67.0,0,5.7,6.0,100.0,2.0,C 
27-07-2023,-,32.8,28.0,63.0,0,8.3,7.0,100.0,2.0,E 
28-07-2023,23,32.2,28.0,63.0,0,9.5,6.0,100.0,2.0,E 
29-07-2023,23,32.0,27.7,64.0,0,9.8,7.0,100.0,2.0,E 
30-07-2023,22.8,32.1,27.7,65.0,0,9.7,8.0,100.0,4.0,E 
31-07-2023,23,32.8,28.5,65.0,0,9.5,9.0,90.0,3.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
