TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-06-2023,25.4,33.2,29.2,72.0,-,9.5,5.0,110.0,1.0,C 
10-06-2023,25.0,33.8,29.5,70.0,0,8.7,4.0,290.0,1.0,C 
11-06-2023,25.4,33.8,29.7,70.0,0,8.0,8.0,120.0,3.0,E 
12-06-2023,26.2,33.7,29.4,76.0,0,6.2,7.0,110.0,3.0,E 
13-06-2023,26.0,33.0,29.0,73.0,8888,6.2,8.0,80.0,2.0,E 
14-06-2023,25.2,33.2,28.9,67.0,-,9.1,6.0,90.0,2.0,E 
15-06-2023,25.0,33.2,28.7,68.0,0,7.5,5.0,80.0,2.0,E 
16-06-2023,24.5,33.0,28.8,71.0,0,4.4,4.0,70.0,1.0,C 
17-06-2023,25.0,32.0,28.6,72.0,0,7.0,6.0,120.0,2.0,E 
18-06-2023,25.2,32.9,28.8,72.0,0,8.6,6.0,120.0,3.0,E 
19-06-2023,25.8,33.3,29.4,72.0,0,8.4,4.0,70.0,1.0,E 
20-06-2023,26.2,34.2,29.8,70.0,0,9.3,5.0,120.0,2.0,E 
21-06-2023,25.9,32.6,29.1,71.0,0,8.4,7.0,90.0,2.0,C 
22-06-2023,24.9,34.2,29.5,68.0,0,6.1,7.0,130.0,2.0,E 
23-06-2023,25.2,33.7,29.0,69.0,-,9.2,5.0,100.0,1.0,E 
24-06-2023,24.6,33.2,28.7,70.0,0,9.4,5.0,80.0,2.0,E 
25-06-2023,24.8,33.0,28.8,73.0,0,9.0,4.0,80.0,2.0,C 
26-06-2023,25.6,33.4,28.6,72.0,8888,5.1,5.0,110.0,2.0,E 
27-06-2023,25.2,33.4,28.8,69.0,0,7.0,5.0,90.0,1.0,C 
28-06-2023,25.3,33.6,29.3,70.0,0,8.5,6.0,110.0,3.0,E 
29-06-2023,25.2,34.4,29.5,71.0,0,8.8,7.0,90.0,2.0,C 
30-06-2023,25.2,34.0,29.4,70.0,0,7.5,7.0,100.0,3.0,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
