TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-03-2023,25.0,32.2,28.7,78.0,49.6,0.8,3.0,340.0,1.0,C 
10-03-2023,25.6,33.2,29.4,74.0,0,4.1,5.0,310.0,2.0,NW
11-03-2023,26.2,33.8,29.7,74.0,-,8.2,5.0,300.0,1.0,C 
12-03-2023,26.2,32.8,29.1,76.0,0,7.6,7.0,310.0,2.0,NW
13-03-2023,26.5,32.5,28.6,75.0,0,7.3,5.0,50.0,2.0,C 
14-03-2023,25.4,33.4,28.2,74.0,0,6.0,7.0,180.0,2.0,C 
15-03-2023,25.4,32.8,28.7,77.0,0.2,6.9,6.0,310.0,2.0,C 
16-03-2023,26.2,34.0,29.4,75.0,0,5.1,6.0,30.0,2.0,C 
17-03-2023,26.6,33.6,28.9,75.0,8888,4.0,3.0,60.0,1.0,C 
18-03-2023,25.2,34.0,28.6,79.0,0,3.4,6.0,300.0,1.0,C 
19-03-2023,25.8,33.6,29.3,76.0,-,4.3,6.0,310.0,2.0,C 
20-03-2023,26.4,33.4,28.0,81.0,6,6.0,6.0,320.0,1.0,C 
21-03-2023,25.4,33.0,29.0,76.0,5.9,7.0,4.0,10.0,1.0,C 
22-03-2023,25.8,33.4,28.8,80.0,13.6,6.2,4.0,310.0,1.0,C 
23-03-2023,25.1,34.0,29.8,74.0,0,4.7,6.0,310.0,2.0,NW
24-03-2023,26.5,32.6,28.2,81.0,0,7.2,5.0,330.0,2.0,C 
25-03-2023,24.8,33.0,28.6,78.0,4.8,4.2,5.0,320.0,2.0,C 
26-03-2023,25.2,33.2,28.4,78.0,0,5.6,7.0,320.0,2.0,C 
27-03-2023,25.5,30.0,27.7,81.0,0,3.5,7.0,320.0,2.0,NW
28-03-2023,25.8,31.0,27.9,82.0,0,0.6,7.0,310.0,1.0,C 
29-03-2023,25.5,32.6,28.7,77.0,8888,2.0,4.0,320.0,1.0,C 
30-03-2023,25.8,32.5,27.0,85.0,8.4,5.1,4.0,320.0,1.0,C 
31-03-2023,24.8,32.3,26.5,86.0,9.4,2.5,6.0,300.0,2.0,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
