TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-05-2023,25.8,33.4,29.0,78.0,0,8.1,4.0,110.0,1.0,C 
10-05-2023,26.2,31.9,28.7,82.0,8888,1.9,10.0,90.0,4.0,E 
11-05-2023,27.2,30.6,28.3,85.0,4.3,2.0,9.0,90.0,2.0,E 
12-05-2023,26.5,34.0,29.8,77.0,0,0.8,6.0,110.0,2.0,E 
13-05-2023,25.8,33.8,28.6,72.0,0,7.2,6.0,60.0,2.0,C 
14-05-2023,23.0,33.0,28.2,72.0,-,7.2,4.0,300.0,2.0,NW
15-05-2023,24.0,33.0,28.3,70.0,0,9.0,3.0,340.0,1.0,C 
16-05-2023,23.8,32.3,28.6,68.0,0,9.0,4.0,320.0,1.0,C 
17-05-2023,23.8,33.2,28.9,66.0,0,7.8,5.0,70.0,2.0,E 
18-05-2023,24.0,33.9,29.3,64.0,0,8.3,5.0,90.0,2.0,E 
19-05-2023,24.6,33.2,29.0,71.0,0,8.9,6.0,90.0,1.0,C 
20-05-2023,25.2,33.7,29.4,69.0,-,5.1,4.0,60.0,1.0,E 
21-05-2023,25.4,33.6,29.1,68.0,0,8.7,8.0,100.0,3.0,E 
22-05-2023,24.8,33.4,29.0,70.0,-,8.8,5.0,90.0,2.0,E 
23-05-2023,24.6,32.8,29.2,70.0,0,9.2,6.0,100.0,2.0,E 
24-05-2023,25.2,32.8,29.2,74.0,0,9.2,4.0,110.0,2.0,E 
25-05-2023,26.0,33.4,29.4,69.0,0,8.2,4.0,110.0,1.0,E 
26-05-2023,25.4,33.8,29.4,66.0,0,9.0,7.0,110.0,2.0,E 
27-05-2023,25.2,33.9,28.9,64.0,0,9.3,7.0,120.0,2.0,C 
28-05-2023,24.0,32.8,28.9,66.0,0,9.0,5.0,120.0,2.0,E 
29-05-2023,24.2,33.5,29.5,64.0,-,9.3,4.0,110.0,2.0,E 
30-05-2023,25.2,33.2,29.1,70.0,-,9.0,7.0,70.0,3.0,E 
31-05-2023,25.4,33.6,29.2,67.0,0,9.2,8.0,100.0,3.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
