TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-11-2023,26.4,35.6,30.7,71.0,0,8.8,6.0,320.0,2.0,NW
10-11-2023,26.8,35.4,30.2,74.0,7.5,7,4.0,310.0,1.0,C 
11-11-2023,26.8,36.2,31.1,68.0,0.5,5.3,7.0,40.0,2.0,C 
12-11-2023,26.4,35.8,30.8,68.0,0,7.3,7.0,80.0,2.0,C 
13-11-2023,26.4,36.6,31.3,66.0,-,7.5,5.0,350.0,2.0,C 
14-11-2023,27.4,36.4,31.1,70.0,0,8.4,6.0,140.0,2.0,SE
15-11-2023,26.8,36.0,31.5,68.0,0,6.8,5.0,80.0,2.0,C 
16-11-2023,27.7,36.2,30.7,70.0,0,-,7.0,320.0,2.0,NW
17-11-2023,26.8,35.2,30.4,73.0,0.1,7,6.0,320.0,2.0,NW
18-11-2023,26.4,36.4,30.8,64.0,8888,2.6,6.0,310.0,2.0,NW
19-11-2023,26.2,37.1,31.4,61.0,0,6.5,6.0,80.0,3.0,C 
20-11-2023,27.2,36.8,31.9,62.0,0,9.2,6.0,110.0,2.0,C 
21-11-2023,27.6,36.4,31.2,68.0,-,9.2,6.0,100.0,3.0,SE
22-11-2023,26.4,37.2,32.3,63.0,0,8.8,8.0,90.0,4.0,E 
23-11-2023,28.4,37.4,31.6,62.0,0,9,7.0,90.0,3.0,C 
24-11-2023,27.6,35.6,29.8,73.0,0,7,5.0,70.0,1.0,C 
25-11-2023,27.2,33.9,29.0,75.0,0,3.1,6.0,310.0,1.0,C 
26-11-2023,25.8,35.8,30.1,71.0,0,1.2,5.0,90.0,1.0,C 
27-11-2023,26.7,34.5,29.5,75.0,-,8,6.0,310.0,2.0,C 
28-11-2023,25.8,32.2,27.9,83.0,10.2,4.8,4.0,200.0,1.0,C 
29-11-2023,25.6,33.6,29.6,77.0,12,0,6.0,10.0,2.0,NE
30-11-2023,26.0,34.6,29.8,75.0,5.6,5.2,6.0,70.0,2.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
