TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-10-2023,25.5,35.4,30.5,66.0,0,8.6,8.0,20.0,2.0,E 
10-10-2023,26.4,36.0,30.2,67.0,0,8.5,6.0,110.0,2.0,E 
11-10-2023,-,35.0,30.5,64.0,-,7.2,7.0,110.0,2.0,E 
12-10-2023,26,35.6,30.6,64.0,0,8.3,6.0,130.0,3.0,E 
13-10-2023,26.6,35.4,30.6,63.0,-,8.7,8.0,100.0,4.0,E 
14-10-2023,26.6,35.6,30.7,61.0,0,8.4,8.0,100.0,4.0,E 
15-10-2023,27.2,35.2,31.0,65.0,0,8.5,6.0,120.0,3.0,E 
16-10-2023,27.8,35.6,30.7,65.0,0,7.8,6.0,90.0,3.0,E 
17-10-2023,26,35.8,30.9,60.0,0,8.7,10.0,110.0,4.0,E 
18-10-2023,26.3,36.6,31.1,58.0,0,8.4,10.0,100.0,5.0,E 
19-10-2023,27.6,36.2,31.0,62.0,0,8.6,9.0,110.0,4.0,SE
20-10-2023,27.4,36.4,31.1,62.0,0,8.6,7.0,100.0,3.0,E 
21-10-2023,26.6,36.4,31.0,65.0,-,9.0,5.0,40.0,2.0,SE
22-10-2023,26.6,36.6,30.7,65.0,0,8.6,5.0,90.0,1.0,C 
23-10-2023,26.5,34.8,30.3,68.0,0,7.6,5.0,70.0,1.0,C 
24-10-2023,26.4,36.6,30.8,67.0,8888,8.0,7.0,90.0,3.0,E 
25-10-2023,27.2,36.6,30.7,60.0,0,8.0,9.0,130.0,4.0,E 
26-10-2023,25.6,37.4,31.1,63.0,0,8.2,8.0,90.0,3.0,C 
27-10-2023,26.4,36.8,30.8,63.0,-,8.8,7.0,150.0,2.0,SE
28-10-2023,25.6,36.8,30.9,60.0,0,8.8,5.0,140.0,2.0,E 
29-10-2023,25.6,36.4,31.3,62.0,-,9.1,6.0,80.0,3.0,E 
30-10-2023,27.4,37.0,31.5,64.0,0,9.0,7.0,90.0,3.0,E 
31-10-2023,27.7,36.7,31.4,67.0,0,9.0,5.0,100.0,2.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
