TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-09-2023,22.5,33.8,28.6,64.0,-,8.5,5.0,100.0,2.0,E 
10-09-2023,22.8,34.0,28.8,62.0,0,8.3,7.0,100.0,3.0,E 
11-09-2023,23.8,34.8,29.4,65.0,-,8.8,8.0,120.0,3.0,E 
12-09-2023,25.0,34.6,29.4,64.0,0,8.5,8.0,140.0,4.0,E 
13-09-2023,25.0,34.2,29.3,65.0,0,8.4,7.0,120.0,3.0,SE
14-09-2023,25.4,32.8,28.4,68.0,0,8.5,6.0,100.0,3.0,E 
15-09-2023,23.4,33.3,29.0,63.0,0,8.2,9.0,90.0,3.0,E 
16-09-2023,24.6,32.9,29.0,69.0,0,8.6,8.0,100.0,3.0,SE
17-09-2023,25.0,34.0,29.5,67.0,0,7.3,7.0,120.0,3.0,E 
18-09-2023,24.8,34.0,28.9,66.0,0,8.5,7.0,90.0,2.0,E 
19-09-2023,24.2,34.0,29.2,63.0,-,8.6,7.0,100.0,3.0,E 
20-09-2023,24.6,34.2,29.2,63.0,-,8.6,6.0,100.0,3.0,E 
21-09-2023,24.1,33.8,28.7,62.0,0,8.5,7.0,110.0,3.0,E 
22-09-2023,23.2,33.4,28.6,59.0,0,7.4,8.0,120.0,4.0,SE
23-09-2023,24.2,35.0,29.3,59.0,0,8.2,7.0,90.0,3.0,E 
24-09-2023,23.8,35.1,29.5,61.0,0,8.6,9.0,120.0,3.0,C 
25-09-2023,24.4,34.6,29.2,63.0,0,8.6,6.0,130.0,2.0,C 
26-09-2023,23.5,35.0,29.3,58.0,0,8.8,7.0,100.0,2.0,E 
27-09-2023,23.8,35.0,29.3,61.0,-,9.0,7.0,100.0,3.0,E 
28-09-2023,24.0,34.8,29.7,62.0,0,8.8,8.0,110.0,4.0,E 
29-09-2023,25.6,34.4,29.9,64.0,0,8.8,9.0,110.0,4.0,E 
30-09-2023,25.4,35.0,29.6,60.0,0,8.7,5.0,100.0,2.0,E 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
